IF,CEP,CEP_numeros,UF,Município,latitude,longitude,Instituicao
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ACRE","Rio Branco, AC. CEP: 69900-640.",69900640,AC,Rio Branco,-9.97499,-67.8243,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ACRE"
CAMPUS AVANÇADO RIO BRANCO BAIXADA DO SOL,"Rio Branco, AC. CEP: 69911-030.",69911030,AC,Rio Branco,-9.97499,-67.8243,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ACRE"
CAMPUS CRUZEIRO DO SUL,"Cruzeiro do Sul, AC. CEP: 69980-000.",69980000,AC,Cruzeiro do Sul,-7.62762,-72.6756,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ACRE"
CAMPUS RIO BRANCO,"Rio Branco, AC. CEP: 69914-610.",69914610,AC,Rio Branco,-9.97499,-67.8243,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ACRE"
CAMPUS SENA MADUREIRA,"Sena Madureira, AC. CEP: 69940-970.",69940970,AC,Sena Madureira,-9.06596,-68.6571,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ACRE"
CAMPUS TARAUACÁ,"Tarauacá, AC. CEP: 69970-000.",69970000,AC,Tarauacá,-8.15697,-70.7722,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ACRE"
CAMPUS XAPURI,"Xapuri, AC. CEP: 69930-000.",69930000,AC,Xapuri,-10.6516,-68.4969,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ACRE"
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS","Maceió, AL. CEP: 57035-350.",57035350,AL,Maceió,-9.66599,-35735,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS"
CAMPUS ARAPIRACA,"Arapiraca, AL. CEP: 57302-045.",57302045,AL,Arapiraca,-9.75487,-36.6615,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS"
CAMPUS AVANÇADO MACEIÓ BENEDITO BENTES,"Maceió, AL. CEP: 57084-651.",57084651,AL,Maceió,-9.66599,-35735,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS"
CAMPUS BATALHA,"Batalha, AL. CEP: 57420-000.",57420000,AL,Batalha,-9.6742,-37133,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS"
CAMPUS CORURIPE,"Coruripe, AL. CEP: 57230-000.",57230000,AL,Coruripe,-10.1276,-36.1717,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS"
CAMPUS MACEIÓ,"Maceió, AL. CEP: 57020-600.",57020600,AL,Maceió,-9.66599,-35735,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS"
CAMPUS MARAGOGI,"Maragogi, AL. CEP: 57955-000.",57955000,AL,Maragogi,-9.00744,-35.2267,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS"
CAMPUS MARECHAL DEODORO,"Marechal Deodoro, AL. CEP: 57160-000.",57160000,AL,Marechal Deodoro,-9.70971,-35.8967,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS"
CAMPUS MURICI,"Murici, AL. CEP: 57820-000.",57820000,AL,Murici,-9.30682,-35.9428,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS"
CAMPUS PALMEIRA DOS ÍNDIOS,"Palmeira dos Índios, AL. CEP: 57601-220.",57601220,AL,Palmeira dos Índios,-9.40568,-36.6328,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS"
CAMPUS PENEDO,"Penedo, AL. CEP: 57200-000.",57200000,AL,Penedo,-10.2874,-36.5819,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS"
CAMPUS PIRANHAS,"Piranhas, AL. CEP: 57460-000.",57460000,AL,Piranhas,-9624,-37757,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS"
CAMPUS RIO LARGO,"Rio Largo, AL. CEP: 57100-000.",57100000,AL,Rio Largo,-9.47783,-35.8394,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS"
CAMPUS SANTANA DO IPANEMA,"Santana do Ipanema, AL. CEP: 57500-000.",57500000,AL,Santana do Ipanema,-9.36999,-37248,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS"
CAMPUS SÃO MIGUEL DOS CAMPOS,"São Miguel dos Campos, AL. CEP: 57240-000.",57240000,AL,São Miguel dos Campos,-9.78301,-36.0971,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS"
CAMPUS SATUBA,"Satuba, AL. CEP: 57120-000.",57120000,AL,Satuba,-9.56911,-35.8227,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS"
CAMPUS VIÇOSA,"Viçosa, AL. CEP: 57700-000.",57700000,AL,Viçosa,-9.36763,-36.2431,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS"
ESCOLA TÉCNICA DE ARTES/UFAL,"Maceió, AL. CEP: 57020-720.",57020720,AL,Maceió,-9.66599,-35735,ESCOLA TÉCNICA DE ARTES/UFAL
ESCOLA TÉCNICA DE ARTES/UFAL,"Maceió, AL. CEP: 57020-720.",57020720,AL,Maceió,-9.66599,-35735,ESCOLA TÉCNICA DE ARTES/UFAL
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAPÁ","Macapá, AP. CEP: 68909-398.",68909398,AP,Macapá,0.034934,-51.0694,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAPÁ"
CAMPUS AVANÇADO OIAPOQUE,"Oiapoque, AP. CEP: 68980-000.",68980000,AP,Oiapoque,3.84074,-51.8331,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAPÁ"
CAMPUS LARANJAL DO JARI,"Laranjal do Jari, AP. CEP: 68920-000.",68920000,AP,Laranjal do Jari,-0.804911,-52453,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAPÁ"
CAMPUS MACAPÁ,"Macapá, AP. CEP: 68909-398.",68909398,AP,Macapá,0.034934,-51.0694,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAPÁ"
CAMPUS PORTO GRANDE,"Porto Grande, AP. CEP: 68997-000.",68997000,AP,Porto Grande,0.71243,-51.4155,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAPÁ"
CAMPUS SANTANA,"Santana, AP. CEP: 68925-000.",68925000,AP,Santana,-0.045434,-51.1729,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAPÁ"
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAZONAS","Manaus, AM. CEP: 69025-010.",69025010,AM,Manaus,-3.11866,-60.0212,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAZONAS"
CAMPUS AVANÇADO MANACAPURU,"Manacapuru, AM. CEP: 69400-000.",69400000,AM,Manacapuru,-3.29066,-60.6216,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAZONAS"
CAMPUS COARI,"Coari, AM. CEP: 69460-000.",69460000,AM,Coari,-4.09412,-63.1441,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAZONAS"
CAMPUS EIRUNEPÉ,"Eirunepé, AM. CEP: 69880-000.",69880000,AM,Eirunepé,-6.65677,-69.8662,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAZONAS"
CAMPUS HUMAITÁ,"Humaitá, AM. CEP: 69800-000.",69800000,AM,Humaitá,-7.51171,-63.0327,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAZONAS"
CAMPUS ITACOATIARA,"Itacoatiara, AM. CEP: 69101-030.",69101030,AM,Itacoatiara,-3.13861,-58.4449,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAZONAS"
CAMPUS LÁBREA,"Lábrea, AM. CEP: 69830-000.",69830000,AM,Lábrea,-7.26413,-64.7948,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAZONAS"
CAMPUS MANAUS CENTRO,"Manaus, AM. CEP: 69020-120.",69020120,AM,Manaus,-3.11866,-60.0212,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAZONAS"
CAMPUS MANAUS DISTRITO INDUSTRIAL,"Manaus, AM. CEP: 69075-350.",69075350,AM,Manaus,-3.11866,-60.0212,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAZONAS"
CAMPUS MANAUS ZONA LESTE,"Manaus, AM. CEP: 69086-475.",69086475,AM,Manaus,-3.11866,-60.0212,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAZONAS"
CAMPUS MAUÉS,"Maués, AM. CEP: 69190-000.",69190000,AM,Maués,-3.39289,-57.7067,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAZONAS"
CAMPUS PARINTINS,"Parintins, AM. CEP: 69152-470.",69152470,AM,Parintins,-2.63741,-56729,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAZONAS"
CAMPUS PRESIDENTE FIGUEIREDO,"Presidente Figueiredo, AM. CEP: 69735-000.",69735000,AM,Presidente Figueiredo,-2.02981,-60.0234,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAZONAS"
CAMPUS SÃO GABRIEL DA CACHOEIRA,"São Gabriel da Cachoeira, AM. CEP: 69750-000.",69750000,AM,São Gabriel da Cachoeira,-0.11909,-67084,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAZONAS"
CAMPUS TABATINGA,"Tabatinga, AM. CEP: 69640-000.",69640000,AM,Tabatinga,-4.2416,-69.9383,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAZONAS"
CAMPUS TEFÉ,"Tefé, AM. CEP: 69552-565.",69552565,AM,Tefé,-3.36822,-64.7193,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAZONAS"
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA","Salvador, BA. CEP: 40110-150.",40110150,BA,Salvador,-12.9718,-38.5011,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA"
CAMPUS AVANÇADO UBAITABA,"Ubaitaba, BA. CEP: 45545-000.",45545000,BA,Ubaitaba,-14303,-39.3222,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA"
CAMPUS BARREIRAS,"Barreiras, BA. CEP: 47805-250.",47805250,BA,Barreiras,-12.1439,-44.9968,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA"
CAMPUS BRUMADO,"Brumado, BA. CEP: 46100-000.",46100000,BA,Brumado,-14.2021,-41.6696,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA"
CAMPUS CAMAÇARÍ,"Camaçari, BA. CEP: 42800-000.",42800000,BA,Camaçari,-12.6996,-38.3263,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA"
CAMPUS EUCLIDES DA CUNHA,"Euclides da Cunha, BA. CEP: 48500-000.",48500000,BA,Euclides da Cunha,-10.5078,-39.0153,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA"
CAMPUS EUNÁPOLIS,"Eunápolis, BA. CEP: 45823-431.",45823431,BA,Eunápolis,-16.3715,-39.5821,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA"
CAMPUS FEIRA DE SANTANA,"Feira de Santana, BA. CEP: 44079-100.",44079100,BA,Feira de Santana,-12.2664,-38.9663,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA"
CAMPUS ILHÉUS,"Ilhéus, BA. CEP: 45653-000.",45653000,BA,Ilhéus,-14793,-39046,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA"
CAMPUS IRECÊ,"Irecê, BA. CEP: 44900-000.",44900000,BA,Irecê,-11.3033,-41.8535,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA"
CAMPUS JACOBINA,"Jacobina, BA. CEP: 44700-000.",44700000,BA,Jacobina,-11.1812,-40.5117,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA"
CAMPUS JEQUIÉ,"Jequié, BA. CEP: 45201-570.",45201570,BA,Jequié,-13.8509,-40.0877,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA"
CAMPUS JUAZEIRO,"Juazeiro, BA. CEP: 48903-000.",48903000,BA,Juazeiro,-9.41622,-40.5033,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA"
CAMPUS LAURO DE FREITAS,"Lauro de Freitas, BA. CEP: 42700-000.",42700000,BA,Lauro de Freitas,-12.8978,-38321,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA"
CAMPUS PAULO AFONSO,"Paulo Afonso, BA. CEP: 48607-000.",48607000,BA,Paulo Afonso,-9.3983,-38.2216,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA"
CAMPUS PORTO SEGURO,"Porto Seguro, BA. CEP: 45810-000.",45810000,BA,Porto Seguro,-16.4435,-39.0643,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA"
CAMPUS SALVADOR,"Salvador, BA. CEP: 40301-015.",40301015,BA,Salvador,-12.9718,-38.5011,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA"
CAMPUS SANTO AMARO,"Santo Amaro, BA. CEP: 44200-000.",44200000,BA,Santo Amaro,-12.5472,-38.7137,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA"
CAMPUS SANTO ANTÔNIO DE JESUS,"Santo Antônio de Jesus, BA. CEP: 44572-000.",44572000,BA,Santo Antônio de Jesus,-12.9614,-39.2584,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA"
CAMPUS SEABRA,"Seabra, BA. CEP: 46900-000.",46900000,BA,Seabra,-12.4169,-41.7722,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA"
CAMPUS SIMÕES FILHO,"Simões Filho, BA. CEP: 43700-000.",43700000,BA,Simões Filho,-12.7866,-38.4029,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA"
CAMPUS VALENÇA-TENTO,"Valença, BA. CEP: 45400-000.",45400000,BA,Valença,-13.3669,-39073,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA"
CAMPUS VITÓRIA DA CONQUISTA,"Vitória da Conquista, BA. CEP: 45030-220.",45030220,BA,Vitória da Conquista,-14.8615,-40.8442,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA"
POLO DE INOVAÇÃO SALVADOR,"Salvador, BA. CEP: 40301-015.",40301015,BA,Salvador,-12.9718,-38.5011,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA"
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO","Salvador, BA. CEP: 41720-052.",41720052,BA,Salvador,-12.9718,-38.5011,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO"
CAMPUS ALAGOINHAS,"Alagoinhas, BA. CEP: 48005-150.",48005150,BA,Alagoinhas,-12.1335,-38.4208,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO"
CAMPUS BOM JESUS DA LAPA,"Bom Jesus da Lapa, BA. CEP: 47600-000.",47600000,BA,Bom Jesus da Lapa,-13.2506,-43.4108,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO"
CAMPUS CATU,"Catu, BA. CEP: 48110-000.",48110000,BA,Catu,-12.3513,-38.3791,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO"
CAMPUS GOVERNADOR MANGABEIRA,"Governador Mangabeira, BA. CEP: 44350-000.",44350000,BA,Governador Mangabeira,-12.5994,-39.0412,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO"
CAMPUS GUANAMBI,"Guanambi, BA. CEP: 46430-000.",46430000,BA,Guanambi,-14.2231,-42.7799,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO"
CAMPUS ITABERABA,"Itaberaba, BA. CEP: 46880-000.",46880000,BA,Itaberaba,-12.5242,-40.3059,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO"
CAMPUS ITAPETINGA,"Itapetinga, BA. CEP: 45700-000.",45700000,BA,Itapetinga,-15.2475,-40.2482,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO"
CAMPUS SANTA INÊS,"Santa Inês, BA. CEP: 45320-000.",45320000,BA,Santa Inês,-13.2793,-39814,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO"
CAMPUS SENHOR DO BONFIM,"Senhor do Bonfim, BA. CEP: 48970-000.",48970000,BA,Senhor do Bonfim,-10.4594,-40.1865,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO"
CAMPUS SERRINHA,"Serrinha, BA. CEP: 48700-000.",48700000,BA,Serrinha,-11.6584,-39.01,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO"
CAMPUS TEIXEIRA DE FREITAS,"Teixeira de Freitas, BA. CEP: 45995-970.",45995970,BA,Teixeira de Freitas,-17.5399,-39.74,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO"
CAMPUS URUÇUCA,"Uruçuca, BA. CEP: 45680-000.",45680000,BA,Uruçuca,-14.5963,-39.2851,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO"
CAMPUS VALENÇA,"Valença, BA. CEP: 45400-000.",45400000,BA,Valença,-13.3669,-39073,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO"
CAMPUS XIQUE-XIQUE,"Xique-Xique, BA. CEP: 47400-000.",47400000,BA,Xique-Xique,-10823,-42.7245,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO"
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ","Fortaleza, CE. CEP: 60410-426.",60410426,CE,Fortaleza,-3.71664,-38.5423,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ"
CAMPUS ACARAÚ,"Acaraú, CE. CEP: 62580-000.",62580000,CE,Acaraú,-2.88769,-40.1183,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ"
CAMPUS ARACATI,"Aracati, CE. CEP: 62800-000.",62800000,CE,Aracati,-4.55826,-37.7679,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ"
CAMPUS AVANÇADO GUARAMIRANGA,"Guaramiranga, CE. CEP: 62766-000.",62766000,CE,Guaramiranga,-4.26248,-38932,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ"
CAMPUS AVANÇADO JAGUARUANA,"Jaguaruana, CE. CEP: 62823-000.",62823000,CE,Jaguaruana,-4.83151,-37781,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ"
CAMPUS AVANÇADO PECÉM,"Caucaia, CE. CEP: 61642-000.",61642000,CE,Caucaia,-3.72797,-38.6619,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ"
CAMPUS BATURITÉ,"Baturité, CE. CEP: 62760-000.",62760000,CE,Baturité,-4.32598,-38.8812,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ"
CAMPUS BOA VIAGEM,"Boa Viagem, CE. CEP: 63870-000.",63870000,CE,Boa Viagem,-5.11258,-39.7337,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ"
CAMPUS CAMOCIM,"Camocim, CE. CEP: 62400-000.",62400000,CE,Camocim,-2.9005,-40.8544,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ"
CAMPUS CANINDÉ,"Canindé, CE. CEP: 62700-000.",62700000,CE,Canindé,-4.35162,-39.3155,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ"
CAMPUS CAUCAIA,"Caucaia, CE. CEP: 61648-140.",61648140,CE,Caucaia,-3.72797,-38.6619,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ"
CAMPUS CEDRO,"Cedro, CE. CEP: 63400-000.",63400000,CE,Cedro,-6.60034,-39.0609,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ"
CAMPUS CRATEÚS,"Crateús, CE. CEP: 63700-000.",63700000,CE,Crateús,-5.16768,-40.6536,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ"
CAMPUS CRATO,"Crato, CE. CEP: 63115-500.",63115500,CE,Crato,-7.2153,-39.4103,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ"
CAMPUS FORTALEZA,"Fortaleza, CE. CEP: 60040-531.",60040531,CE,Fortaleza,-3.71664,-38.5423,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ"
CAMPUS HORIZONTE,"Horizonte, CE. CEP: 62880-000.",62880000,CE,Horizonte,-4.1209,-38.4707,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ"
CAMPUS IGUATU,"Iguatu, CE. CEP: 63500-000.",63500000,CE,Iguatu,-6.36281,-39.2892,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ"
CAMPUS ITAPIPOCA,"Itapipoca, CE. CEP: 62500-000.",62500000,CE,Itapipoca,-3.49933,-39.5836,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ"
CAMPUS JAGUARIBE,"Jaguaribe, CE. CEP: 63475-970.",63475970,CE,Jaguaribe,-5.90213,-38.6227,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ"
CAMPUS JUAZEIRO DO NORTE,"Juazeiro do Norte, CE. CEP: 63040-540.",63040540,CE,Juazeiro do Norte,-7.19621,-39.3076,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ"
CAMPUS LIMOEIRO DO NORTE,"Limoeiro do Norte, CE. CEP: 62930-000.",62930000,CE,Limoeiro do Norte,-5.14392,-38.0847,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ"
CAMPUS MARACANAÚ,"Maracanaú, CE. CEP: 61939-140.",61939140,CE,Maracanaú,-3.86699,-38.6259,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ"
CAMPUS MORADA NOVA,"Morada Nova, CE. CEP: 62940-000.",62940000,CE,Morada Nova,-5.09736,-38.3702,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ"
CAMPUS PARACURU,"Paracuru, CE. CEP: 62680-000.",62680000,CE,Paracuru,-3.41436,-39.03,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ"
CAMPUS QUIXADÁ,"Quixadá, CE. CEP: 63900-000.",63900000,CE,Quixadá,-4.9663,-39.0155,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ"
CAMPUS SOBRAL,"Sobral, CE. CEP: 62042-030.",62042030,CE,Sobral,-3.68913,-40.3482,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ"
CAMPUS TABULEIRO DO NORTE,"Tabuleiro do Norte, CE. CEP: 62960-000.",62960000,CE,Tabuleiro do Norte,-5.24353,-38.1282,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ"
CAMPUS TAUÁ,"Tauá, CE. CEP: 63660-000.",63660000,CE,Tauá,-5.98585,-40.2968,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ"
CAMPUS TIANGUÁ,"Tianguá, CE. CEP: 62320-000.",62320000,CE,Tianguá,-3.72965,-40.9923,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ"
